,id,photo,text,tags
0,7,photos/photo_1@15-11-2019_14-17-29.jpg,"📣Hi there! Want any of these?

Student Affairs are looking for volunteers to help with administrative work 

- today 15:00-17:00 or
- tomorrow in 319 from 14:00 to 16:00.

✅Your efforts will be compensated with:

- IBC 2019 T-shirt
- tea & cookies, if you like
- friendliness of 319 team!

👉If you may help please message ","['Volunteering', 'Job Fair']"
1,8,photos/photo_2@19-11-2019_17-20-16.jpg,"Bonjour! Ça va?
С'est la vie.. 
Croissant.

📣If these words sound familiar to you, then maybe you know something about French Language 😉🇫🇷

 Language Club invites you to the open French lesson for beginners by Aliance Francaise 😍

🕢 1️⃣8️⃣:0️⃣0️⃣ in room 320!

‼️Lesson will be held in Russian

Do not hesitate to contact  or  with any questions.",['Language Learning']
2,9,photos/photo_3@21-11-2019_12-23-56.jpg,"📣On December 14, comedian Vladimir Marconi arrives in Innopolis. He, together with the mayor's office and his film crew, will shoot a video about residents of the city preparing for the New Year.

‼️🤩If you want to work in this project, message  by the end of Friday, November 22.","['Internship', 'Job Fair']"
3,10,photos/photo_4@21-11-2019_15-15-30.jpg,"🌲🦌🦌❄️

🤶

Secret Santa is a project where participants (students and staff) are randomly allocated into pairs and exchange gifts. 🎁

👉Just  below and you will receive ✉️ with instructions😉

 25.11.2019 (Monday)
🎉Let's play together!",
4,11,photos/photo_5@22-11-2019_13-14-57.jpg,"📣 On December 14, famous Russian comedian Vladimir Marconi arrives in Innopolis. He, together with the mayor's office and his film crew, will shoot a video about residents of the city preparing for the New Year.

‼️🤩To apply message  by the end of today!",
5,12,photos/photo_6@25-11-2019_12-18-15.jpg,"📣We invite you to become an IU Ambassador and take part in a traditional project designed for IU students willing to tell about Innopolis at their schools.

✅The project is supervised by Admissions Office, who are able to provide you with further information and materials to deliver a presentation at your school.

👉To apply fill the  by 30 November. Selected candidates will be informed on 3 December.

💯Ambassadors team will be provided with special uniform, training and IU handouts. For questions: ",
6,13,photos/photo_7@25-11-2019_15-33-35.jpg,"🌲🦌🦌❄️

🤶Secret Santa is a project where participants (students and staff) are randomly allocated into pairs and exchange gifts. 🎁

👉Just  below and you will receive ✉️ with further instructions😉

 25.11.2019 (Today)

✅All presents will be delivered on December 11. In case somebody didn't happen to be on the doors on delivery day, they can collect their present later by the Christmas tree in 319.",
7,14,photos/photo_8@27-11-2019_12-08-08.jpg,,
8,15,photos/photo_9@27-11-2019_16-42-47.jpg,"‼️Want to upgrade your programming skills? We are glad to announce ourat Innopolis University, which will happen from 14 to 18 December! 

Our first ICPC winter camp is designed for  teams and will be held in December right after the final exams at Innopolis University. To take part:

1. Have Timus Online account on .
2. Solve 50 tasks on Timus Online by 6 December.
3. Register for the camp .

✅Camp curriculum for  will include 3 and 5 hours contests, problem analysis and upsolving practice. Even if you’re not in ICPC club yet you can join our camps now! 

👉Any questions: ","['Programming', 'Computer Science']"
9,17,photos/photo_10@02-12-2019_12-46-45.jpg,"📣We invite you to the Soft Skills School, which will be conducted by business coaches from Sberbank Russia along with 319 team. The program will include personal meta-competence assessment, business games, trainings and personal development planning.

To apply please follow the  and provide detailed answers to specified questions by 6 December. Selection process will determine successful candidates, who will be notified by 13 December. 

📍Event's venue: trying to sort something outside IU
📌School’s time: 17-19 January, 9am-6pm
🗣Event language: Russian.",['Business']
